,Grifo,Lavadora,Ducha,Total_Real,flow
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:00:02,0.0,0.0,0.0,0.0,0.011221697095427164
2024-01-01 00:00:04,0.0,0.0,0.0,0.0,0.03683006977419877
2024-01-01 00:00:06,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:00:08,0.0,0.0,0.0,0.0,0.0501771716051311
2024-01-01 00:00:10,0.0,0.0,0.0,0.0,0.012570570280981356
2024-01-01 00:00:12,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:00:14,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:00:16,0.0,0.0,0.0,0.0,0.01674980737565167
2024-01-01 00:00:18,0.5120856979826172,0.0,0.0,0.5120856979826172,0.5143658597249895
2024-01-01 00:00:20,0.500314640460722,0.0,0.0,0.500314640460722,0.5164773202341131
2024-01-01 00:00:22,0.4211554065238426,0.0,0.0,0.4211554065238426,0.3935351987314616
2024-01-01 00:00:24,0.4917846056032571,0.0,0.0,0.4917846056032571,0.49686543032433944
2024-01-01 00:00:26,0.3935146572671191,0.0,0.0,0.3935146572671191,0.3511032223599697
2024-01-01 00:00:28,0.47649020889576416,0.0,0.0,0.47649020889576416,0.47315342705530317
2024-01-01 00:00:30,0.522078431032895,0.0,0.0,0.522078431032895,0.4949612017889513
2024-01-01 00:00:32,0.32641777499363556,0.0,0.0,0.32641777499363556,0.30435187671594255
2024-01-01 00:00:34,0.4101552372264762,0.0,0.0,0.4101552372264762,0.4472380324827893
2024-01-01 00:00:36,0.0,0.0,0.0,0.0,0.03273930361782807
2024-01-01 00:00:38,0.0,0.0,0.0,0.0,0.01827414362721531
2024-01-01 00:00:40,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:00:42,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:00:44,0.0,0.0,0.0,0.0,0.0363929309993755
2024-01-01 00:00:46,0.0,0.0,0.0,0.0,0.004251507409197142
2024-01-01 00:00:48,0.0,0.0,0.0,0.0,0.06957988619945082
2024-01-01 00:00:50,0.0,0.0,0.0,0.0,0.011799535181831156
2024-01-01 00:00:52,0.0,0.0,0.0,0.0,0.005761473494700947
2024-01-01 00:00:54,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:00:56,0.0,0.0,0.0,0.0,0.004006227143468469
2024-01-01 00:00:58,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:00,0.0,0.0,0.0,0.0,0.021243260300657714
2024-01-01 00:01:02,0.0,0.0,0.0,0.0,0.02870106950383752
2024-01-01 00:01:04,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:06,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:08,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:10,0.0,0.0,0.0,0.0,0.01523973980737631
2024-01-01 00:01:12,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:14,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:16,0.0,0.0,0.0,0.0,0.011657358135928922
2024-01-01 00:01:18,0.0,0.0,0.0,0.0,0.07478998552298372
2024-01-01 00:01:20,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:22,0.0,0.0,0.0,0.0,0.025154723233549257
2024-01-01 00:01:24,0.0,0.0,0.0,0.0,0.00245488075642695
2024-01-01 00:01:26,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:28,0.0,0.0,0.0,0.0,0.027572294489633057
2024-01-01 00:01:30,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:32,0.0,0.0,0.0,0.0,0.008021769422157089
2024-01-01 00:01:34,0.0,0.0,0.0,0.0,0.009650934185880408
2024-01-01 00:01:36,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:38,0.0,0.0,0.0,0.0,0.029761270486095684
2024-01-01 00:01:40,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:42,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:44,0.0,0.0,0.0,0.0,0.016095295307112106
2024-01-01 00:01:46,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:48,0.0,0.0,0.0,0.0,0.0008454347210738474
2024-01-01 00:01:50,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:52,0.0,0.0,0.0,0.0,0.03257686697494734
2024-01-01 00:01:54,0.0,0.0,0.0,0.0,0.014240946986398583
2024-01-01 00:01:56,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:58,0.0,0.0,0.0,0.0,0.024532988976008613
2024-01-01 00:02:00,0.0,0.0,0.0,0.0,0.0417062264705194
2024-01-01 00:02:02,0.0,0.0,0.0,0.0,0.016734309190555866
2024-01-01 00:02:04,0.0,0.0,0.0,0.0,0.0003105785953014182
